Year,Quarter,Region,Economic Activity,Enterprise size,Number of enterprises,Number of Saudi employees,Number of Saudi male employees,Number of Saudi female employees,Number of Non Saudi employees,Number of Non Saudi male employees,Number of Non Saudi female employees
2023,1,Eastern Region,"Travel agencies, tour operators, reservation services and related activities",Small,54,320,137,183,523,516,7
2023,1,Eastern Region,"Travel agencies, tour operators, reservation services and related activities",Large,1,221,207,14,213,212,1
2023,1,Eastern Region,"Travel agencies, tour operators, reservation services and related activities",Micro,184,122,65,57,287,285,2
2023,1,Eastern Region,"Travel agencies, tour operators, reservation services and related activities",Medium,6,239,130,109,329,326,3
2023,1,Al Bahah Region,"Travel agencies, tour operators, reservation services and related activities",Micro,7,2,2,0,13,13,0
2023,1,Al-Jawf Region,"Travel agencies, tour operators, reservation services and related activities",Small,3,12,8,4,23,23,0
2023,1,Al-Jawf Region,"Travel agencies, tour operators, reservation services and related activities",Micro,17,6,2,4,33,33,0
2023,1,Northern border Region,"Travel agencies, tour operators, reservation services and related activities",Small,1,4,4,0,26,26,0
2023,1,Northern border Region,"Travel agencies, tour operators, reservation services and related activities",Micro,12,2,2,0,26,26,0
2023,1,Riyadh Region,"Travel agencies, tour operators, reservation services and related activities",Small,159,898,365,533,1322,1287,35
2023,1,Riyadh Region,"Travel agencies, tour operators, reservation services and related activities",Large,2,312,187,125,319,313,6
2023,1,Riyadh Region,"Travel agencies, tour operators, reservation services and related activities",Micro,411,226,98,128,738,712,26
2023,1,Riyadh Region,"Travel agencies, tour operators, reservation services and related activities",Medium,18,681,364,317,1046,1035,11
2023,1,Qassim Region,"Travel agencies, tour operators, reservation services and related activities",Small,13,31,16,15,94,92,2
2023,1,Qassim Region,"Travel agencies, tour operators, reservation services and related activities",Micro,80,24,11,13,158,157,1
2023,1,Medina Region,"Travel agencies, tour operators, reservation services and related activities",Small,28,134,58,76,254,249,5
2023,1,Medina Region,"Travel agencies, tour operators, reservation services and related activities",Micro,145,84,47,37,233,225,8
2023,1,Tabuk Region,"Travel agencies, tour operators, reservation services and related activities",Small,7,30,19,11,75,75,0
2023,1,Tabuk Region,"Travel agencies, tour operators, reservation services and related activities",Micro,40,16,7,9,67,64,3
2023,1,Jazan Region,"Travel agencies, tour operators, reservation services and related activities",Small,2,9,2,7,17,17,0
2023,1,Jazan Region,"Travel agencies, tour operators, reservation services and related activities",Micro,26,15,6,9,41,41,0
2023,1,Hail Region,"Travel agencies, tour operators, reservation services and related activities",Small,8,31,12,19,67,65,2
2023,1,Hail Region,"Travel agencies, tour operators, reservation services and related activities",Micro,20,10,8,2,42,42,0
2023,1,Asir Region,"Travel agencies, tour operators, reservation services and related activities",Small,2,11,4,7,19,19,0
2023,1,Asir Region,"Travel agencies, tour operators, reservation services and related activities",Micro,59,32,17,15,113,113,0
2023,1,Makkah Region,"Travel agencies, tour operators, reservation services and related activities",Small,200,846,500,346,1635,1603,32
2023,1,Makkah Region,"Travel agencies, tour operators, reservation services and related activities",Large,1,249,240,9,32,31,1
2023,1,Makkah Region,"Travel agencies, tour operators, reservation services and related activities",Micro,721,490,295,195,1230,1198,32
2023,1,Makkah Region,"Travel agencies, tour operators, reservation services and related activities",Medium,12,581,319,262,545,542,3
2023,1,Najran Region,"Travel agencies, tour operators, reservation services and related activities",Small,4,6,3,3,29,29,0
2023,1,Najran Region,"Travel agencies, tour operators, reservation services and related activities",Micro,15,9,5,4,28,28,0
2023,1,Eastern Region,Fishing and aquaculture,Small,138,122,47,75,1229,1228,1
2023,1,Eastern Region,Fishing and aquaculture,Micro,2055,183,82,101,5887,5873,14
2023,1,Al Bahah Region,Fishing and aquaculture,Small,2,0,0,0,13,13,0
2023,1,Al Bahah Region,Fishing and aquaculture,Micro,131,9,5,4,370,370,0
2023,1,Al-Jawf Region,Fishing and aquaculture,Small,3,5,1,4,13,13,0
2023,1,Al-Jawf Region,Fishing and aquaculture,Micro,609,43,27,16,1301,1293,8
2023,1,Northern border Region,Fishing and aquaculture,Small,1,3,1,2,16,16,0
2023,1,Northern border Region,Fishing and aquaculture,Micro,222,19,11,8,643,642,1
2023,1,Riyadh Region,Fishing and aquaculture,Small,847,612,289,323,5813,5782,31
2023,1,Riyadh Region,Fishing and aquaculture,Micro,107429,8541,4149,4392,320241,318328,1913
2023,1,Riyadh Region,Fishing and aquaculture,Medium,4,98,23,75,294,294,0
2023,1,Qassim Region,Fishing and aquaculture,Small,22,14,6,8,166,165,1
2023,1,Qassim Region,Fishing and aquaculture,Micro,2705,206,92,114,8079,8062,17
2023,1,Medina Region,Fishing and aquaculture,Small,28,21,14,7,256,256,0
2023,1,Medina Region,Fishing and aquaculture,Micro,1220,108,67,41,3241,3162,79
2023,1,Tabuk Region,Fishing and aquaculture,Small,21,2,0,2,205,205,0
2023,1,Tabuk Region,Fishing and aquaculture,Micro,469,38,18,20,1192,1188,4
2023,1,Jazan Region,Fishing and aquaculture,Small,59,87,61,26,675,674,1
2023,1,Jazan Region,Fishing and aquaculture,Micro,963,67,32,35,2357,2336,21
2023,1,Jazan Region,Fishing and aquaculture,Medium,3,37,23,14,329,328,1
2023,1,Hail Region,Fishing and aquaculture,Small,25,8,4,4,156,156,0
2023,1,Hail Region,Fishing and aquaculture,Micro,5042,324,147,177,14732,14698,34
2023,1,Asir Region,Fishing and aquaculture,Small,32,42,32,10,246,246,0
2023,1,Asir Region,Fishing and aquaculture,Micro,1100,61,27,34,2510,2499,11
2023,1,Asir Region,Fishing and aquaculture,Medium,1,6,2,4,44,44,0
2023,1,Makkah Region,Fishing and aquaculture,Small,111,78,42,36,844,839,5
2023,1,Makkah Region,Fishing and aquaculture,Large,1,271,248,23,2028,2025,3
2023,1,Makkah Region,Fishing and aquaculture,Micro,6265,496,256,240,16053,15518,535
2023,1,Makkah Region,Fishing and aquaculture,Medium,2,31,30,1,248,248,0
2023,1,Najran Region,Fishing and aquaculture,Small,20,11,2,9,140,140,0
2023,1,Najran Region,Fishing and aquaculture,Micro,2197,141,69,72,6365,6351,14
2023,1,Eastern Region,Manufacture of formed metal products (excluding machinery and equipment),Small,667,1957,1141,816,7591,7582,9
2023,1,Eastern Region,Manufacture of formed metal products (excluding machinery and equipment),Large,23,7051,6345,706,6473,6462,11
2023,1,Eastern Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,1486,452,244,208,3397,3395,2
2023,1,Eastern Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,111,3037,2190,847,8358,8348,10
2023,1,Al Bahah Region,Manufacture of formed metal products (excluding machinery and equipment),Small,21,23,13,10,120,120,0
2023,1,Al Bahah Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,327,50,34,16,661,661,0
2023,1,Al-Jawf Region,Manufacture of formed metal products (excluding machinery and equipment),Small,28,35,24,11,239,239,0
2023,1,Al-Jawf Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,311,29,25,4,698,697,1
2023,1,Northern border Region,Manufacture of formed metal products (excluding machinery and equipment),Small,19,35,19,16,225,225,0
2023,1,Northern border Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,121,17,6,11,293,290,3
2023,1,Riyadh Region,Manufacture of formed metal products (excluding machinery and equipment),Small,963,3064,1267,1797,12531,12482,49
2023,1,Riyadh Region,Manufacture of formed metal products (excluding machinery and equipment),Large,18,2327,1442,885,6480,6457,23
2023,1,Riyadh Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,2666,632,291,341,6043,6014,29
2023,1,Riyadh Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,174,4104,2067,2037,13034,13007,27
2023,1,Qassim Region,Manufacture of formed metal products (excluding machinery and equipment),Small,169,336,190,146,1632,1630,2
2023,1,Qassim Region,Manufacture of formed metal products (excluding machinery and equipment),Large,1,117,96,21,376,376,0
2023,1,Qassim Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,1240,185,104,81,2973,2968,5
2023,1,Qassim Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,9,164,101,63,654,653,1
2023,1,Medina Region,Manufacture of formed metal products (excluding machinery and equipment),Small,97,198,91,107,974,973,1
2023,1,Medina Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,667,114,66,48,1543,1541,2
2023,1,Medina Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,9,337,219,118,748,746,2
2023,1,Tabuk Region,Manufacture of formed metal products (excluding machinery and equipment),Small,33,70,42,28,360,359,1
2023,1,Tabuk Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,227,40,22,18,562,561,1
2023,1,Tabuk Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,2,43,21,22,117,116,1
2023,1,Jazan Region,Manufacture of formed metal products (excluding machinery and equipment),Small,42,91,57,34,361,360,1
2023,1,Jazan Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,844,87,51,36,2073,2071,2
2023,1,Jazan Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,1,15,5,10,41,41,0
2023,1,Hail Region,Manufacture of formed metal products (excluding machinery and equipment),Small,56,112,42,70,600,600,0
2023,1,Hail Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,238,45,21,24,528,525,3
2023,1,Hail Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,2,55,37,18,66,66,0
2023,1,Asir Region,Manufacture of formed metal products (excluding machinery and equipment),Small,90,231,130,101,921,921,0
2023,1,Asir Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,1111,159,82,77,2565,2565,0
2023,1,Asir Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,8,109,57,52,513,513,0
2023,1,Makkah Region,Manufacture of formed metal products (excluding machinery and equipment),Small,374,1042,514,528,4484,4455,29
2023,1,Makkah Region,Manufacture of formed metal products (excluding machinery and equipment),Large,9,930,679,251,2426,2420,6
2023,1,Makkah Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,2173,328,178,150,5128,5113,15
2023,1,Makkah Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,77,2245,1563,682,6498,6476,22
2023,1,Najran Region,Manufacture of formed metal products (excluding machinery and equipment),Small,14,14,4,10,101,101,0
2023,1,Najran Region,Manufacture of formed metal products (excluding machinery and equipment),Micro,343,33,14,19,839,837,2
2023,1,Najran Region,Manufacture of formed metal products (excluding machinery and equipment),Medium,1,7,3,4,44,44,0
2023,1,Eastern Region,Manufacture of other non-metallic mineral products,Small,296,1070,606,464,4687,4684,3
2023,1,Eastern Region,Manufacture of other non-metallic mineral products,Large,16,2176,1684,492,5396,5392,4
2023,1,Eastern Region,Manufacture of other non-metallic mineral products,Micro,377,128,77,51,902,899,3
2023,1,Eastern Region,Manufacture of other non-metallic mineral products,Medium,139,3245,2010,1235,10389,10328,61
2023,1,Al Bahah Region,Manufacture of other non-metallic mineral products,Small,27,122,73,49,515,515,0
2023,1,Al Bahah Region,Manufacture of other non-metallic mineral products,Micro,43,13,11,2,87,87,0
2023,1,Al Bahah Region,Manufacture of other non-metallic mineral products,Medium,7,120,68,52,438,434,4
2023,1,Al-Jawf Region,Manufacture of other non-metallic mineral products,Small,31,103,60,43,415,414,1
2023,1,Al-Jawf Region,Manufacture of other non-metallic mineral products,Micro,39,3,3,0,85,84,1
2023,1,Al-Jawf Region,Manufacture of other non-metallic mineral products,Medium,15,297,214,83,1084,1084,0
2023,1,Northern border Region,Manufacture of other non-metallic mineral products,Small,21,58,31,27,302,302,0
2023,1,Northern border Region,Manufacture of other non-metallic mineral products,Large,1,215,213,2,184,184,0
2023,1,Northern border Region,Manufacture of other non-metallic mineral products,Micro,36,9,6,3,84,84,0
2023,1,Northern border Region,Manufacture of other non-metallic mineral products,Medium,4,93,51,42,269,268,1
2023,1,Riyadh Region,Manufacture of other non-metallic mineral products,Small,1390,2186,962,1224,23976,23862,114
2023,1,Riyadh Region,Manufacture of other non-metallic mineral products,Large,38,5463,3622,1841,12515,12489,26
2023,1,Riyadh Region,Manufacture of other non-metallic mineral products,Micro,1781,307,160,147,4621,4585,36
2023,1,Riyadh Region,Manufacture of other non-metallic mineral products,Medium,373,5217,2547,2670,27579,27525,54
2023,1,Qassim Region,Manufacture of other non-metallic mineral products,Small,167,437,255,182,2840,2836,4
2023,1,Qassim Region,Manufacture of other non-metallic mineral products,Large,8,903,737,166,2554,2553,1
2023,1,Qassim Region,Manufacture of other non-metallic mineral products,Micro,273,49,31,18,711,710,1
2023,1,Qassim Region,Manufacture of other non-metallic mineral products,Medium,44,955,548,407,3337,3337,0
2023,1,Medina Region,Manufacture of other non-metallic mineral products,Small,101,262,167,95,1416,1414,2
2023,1,Medina Region,Manufacture of other non-metallic mineral products,Large,7,1155,795,360,2491,2488,3
2023,1,Medina Region,Manufacture of other non-metallic mineral products,Micro,174,37,27,10,410,402,8
2023,1,Medina Region,Manufacture of other non-metallic mineral products,Medium,42,1046,753,293,3748,3744,4
2023,1,Tabuk Region,Manufacture of other non-metallic mineral products,Small,30,113,63,50,374,370,4
2023,1,Tabuk Region,Manufacture of other non-metallic mineral products,Large,2,381,353,28,533,533,0
2023,1,Tabuk Region,Manufacture of other non-metallic mineral products,Micro,50,17,9,8,112,112,0
2023,1,Tabuk Region,Manufacture of other non-metallic mineral products,Medium,8,221,145,76,694,694,0
2023,1,Jazan Region,Manufacture of other non-metallic mineral products,Small,73,198,115,83,1085,1083,2
2023,1,Jazan Region,Manufacture of other non-metallic mineral products,Large,2,433,418,15,343,343,0
2023,1,Jazan Region,Manufacture of other non-metallic mineral products,Micro,141,28,20,8,338,337,1
2023,1,Jazan Region,Manufacture of other non-metallic mineral products,Medium,31,683,417,266,2013,2013,0
2023,1,Hail Region,Manufacture of other non-metallic mineral products,Small,40,68,37,31,489,489,0
2023,1,Hail Region,Manufacture of other non-metallic mineral products,Large,1,254,254,0,164,163,1
2023,1,Hail Region,Manufacture of other non-metallic mineral products,Micro,137,25,17,8,324,324,0
2023,1,Hail Region,Manufacture of other non-metallic mineral products,Medium,11,201,120,81,945,945,0
2023,1,Asir Region,Manufacture of other non-metallic mineral products,Small,159,518,324,194,2339,2331,8
2023,1,Asir Region,Manufacture of other non-metallic mineral products,Large,6,1082,836,246,1727,1726,1
2023,1,Asir Region,Manufacture of other non-metallic mineral products,Micro,292,63,33,30,751,746,5
2023,1,Asir Region,Manufacture of other non-metallic mineral products,Medium,45,971,574,397,3336,3335,1
2023,1,Makkah Region,Manufacture of other non-metallic mineral products,Small,268,778,389,389,3742,3728,14
2023,1,Makkah Region,Manufacture of other non-metallic mineral products,Large,16,2973,1981,992,6085,6078,7
2023,1,Makkah Region,Manufacture of other non-metallic mineral products,Micro,511,150,85,65,1234,1224,10
2023,1,Makkah Region,Manufacture of other non-metallic mineral products,Medium,101,2289,1358,931,7804,7794,10
2023,1,Najran Region,Manufacture of other non-metallic mineral products,Small,35,89,41,48,502,501,1
2023,1,Najran Region,Manufacture of other non-metallic mineral products,Large,1,344,326,18,423,423,0
2023,1,Najran Region,Manufacture of other non-metallic mineral products,Micro,77,13,7,6,203,203,0
2023,1,Najran Region,Manufacture of other non-metallic mineral products,Medium,25,526,289,237,1809,1804,5
2023,1,Eastern Region,Manufacture of rubber and plastics products,Small,66,276,177,99,1012,1011,1
2023,1,Eastern Region,Manufacture of rubber and plastics products,Large,3,423,404,19,885,885,0
2023,1,Eastern Region,Manufacture of rubber and plastics products,Micro,53,36,15,21,117,117,0
2023,1,Eastern Region,Manufacture of rubber and plastics products,Medium,36,1051,783,268,2635,2629,6
2023,1,Al Bahah Region,Manufacture of rubber and plastics products,Micro,2,0,0,0,5,5,0
2023,1,Al-Jawf Region,Manufacture of rubber and plastics products,Small,2,15,8,7,31,31,0
2023,1,Al-Jawf Region,Manufacture of rubber and plastics products,Large,1,118,82,36,382,382,0
2023,1,Al-Jawf Region,Manufacture of rubber and plastics products,Micro,14,2,1,1,37,37,0
2023,1,Northern border Region,Manufacture of rubber and plastics products,Small,1,3,1,2,6,6,0
2023,1,Northern border Region,Manufacture of rubber and plastics products,Micro,1,0,0,0,1,1,0
2023,1,Riyadh Region,Manufacture of rubber and plastics products,Small,144,668,283,385,2598,2583,15
2023,1,Riyadh Region,Manufacture of rubber and plastics products,Large,10,926,462,464,3184,3179,5
2023,1,Riyadh Region,Manufacture of rubber and plastics products,Micro,221,74,35,39,546,537,9
2023,1,Riyadh Region,Manufacture of rubber and plastics products,Medium,93,2553,1325,1228,7828,7816,12
2023,1,Qassim Region,Manufacture of rubber and plastics products,Small,4,21,7,14,61,61,0
2023,1,Qassim Region,Manufacture of rubber and plastics products,Micro,18,6,1,5,31,30,1
2023,1,Qassim Region,Manufacture of rubber and plastics products,Medium,8,255,160,95,654,653,1
2023,1,Medina Region,Manufacture of rubber and plastics products,Small,25,130,68,62,511,511,0
2023,1,Medina Region,Manufacture of rubber and plastics products,Large,1,127,63,64,333,333,0
2023,1,Medina Region,Manufacture of rubber and plastics products,Micro,22,11,5,6,31,31,0
2023,1,Medina Region,Manufacture of rubber and plastics products,Medium,8,232,144,88,681,677,4
2023,1,Tabuk Region,Manufacture of rubber and plastics products,Small,7,30,16,14,98,98,0
2023,1,Tabuk Region,Manufacture of rubber and plastics products,Micro,4,3,1,2,8,8,0
2023,1,Tabuk Region,Manufacture of rubber and plastics products,Medium,1,20,12,8,77,77,0
2023,1,Jazan Region,Manufacture of rubber and plastics products,Small,1,2,1,1,8,8,0
2023,1,Jazan Region,Manufacture of rubber and plastics products,Micro,8,1,1,0,27,27,0
2023,1,Hail Region,Manufacture of rubber and plastics products,Small,3,19,10,9,55,55,0
2023,1,Hail Region,Manufacture of rubber and plastics products,Micro,5,0,0,0,11,11,0
2023,1,Hail Region,Manufacture of rubber and plastics products,Medium,2,109,83,26,149,149,0
2023,1,Asir Region,Manufacture of rubber and plastics products,Small,7,22,11,11,85,85,0
2023,1,Asir Region,Manufacture of rubber and plastics products,Micro,25,9,4,5,50,50,0
2023,1,Asir Region,Manufacture of rubber and plastics products,Medium,4,80,45,35,237,237,0
2023,1,Makkah Region,Manufacture of rubber and plastics products,Small,86,446,231,215,1561,1551,10
2023,1,Makkah Region,Manufacture of rubber and plastics products,Large,12,1419,1072,347,3148,3134,14
2023,1,Makkah Region,Manufacture of rubber and plastics products,Micro,77,33,23,10,169,168,1
2023,1,Makkah Region,Manufacture of rubber and plastics products,Medium,34,852,407,445,2976,2973,3
2023,1,Najran Region,Manufacture of rubber and plastics products,Small,3,19,10,9,66,66,0
2023,1,Najran Region,Manufacture of rubber and plastics products,Micro,11,4,3,1,33,33,0
2023,1,Najran Region,Manufacture of rubber and plastics products,Medium,3,53,18,35,244,244,0
2023,1,Eastern Region,Manufacture of coke and refined petroleum products,Small,26,145,93,52,467,467,0
2023,1,Eastern Region,Manufacture of coke and refined petroleum products,Large,8,4165,4105,60,1618,1617,1
2023,1,Eastern Region,Manufacture of coke and refined petroleum products,Micro,11,8,4,4,18,17,1
2023,1,Eastern Region,Manufacture of coke and refined petroleum products,Medium,7,523,506,17,633,633,0
2023,1,Riyadh Region,Manufacture of coke and refined petroleum products,Small,33,193,114,79,428,425,3
2023,1,Riyadh Region,Manufacture of coke and refined petroleum products,Micro,38,33,19,14,60,59,1
2023,1,Riyadh Region,Manufacture of coke and refined petroleum products,Medium,5,163,112,51,346,346,0
2023,1,Qassim Region,Manufacture of coke and refined petroleum products,Small,4,27,24,3,77,77,0
2023,1,Qassim Region,Manufacture of coke and refined petroleum products,Micro,3,1,1,0,7,7,0
2023,1,Medina Region,Manufacture of coke and refined petroleum products,Small,2,16,15,1,34,34,0
2023,1,Medina Region,Manufacture of coke and refined petroleum products,Large,4,2073,2008,65,498,498,0
2023,1,Medina Region,Manufacture of coke and refined petroleum products,Micro,5,5,3,2,9,9,0
2023,1,Medina Region,Manufacture of coke and refined petroleum products,Medium,4,203,199,4,464,464,0
2023,1,Tabuk Region,Manufacture of coke and refined petroleum products,Small,1,3,3,0,8,8,0
2023,1,Tabuk Region,Manufacture of coke and refined petroleum products,Micro,1,1,0,1,0,0,0
2023,1,Jazan Region,Manufacture of coke and refined petroleum products,Large,1,236,228,8,63,59,4
2023,1,Jazan Region,Manufacture of coke and refined petroleum products,Micro,2,1,1,0,3,3,0
2023,1,Hail Region,Manufacture of coke and refined petroleum products,Micro,1,0,0,0,3,3,0
2023,1,Asir Region,Manufacture of coke and refined petroleum products,Small,1,6,3,3,19,19,0
2023,1,Asir Region,Manufacture of coke and refined petroleum products,Medium,1,16,9,7,46,46,0
2023,1,Makkah Region,Manufacture of coke and refined petroleum products,Small,19,100,58,42,259,257,2
2023,1,Makkah Region,Manufacture of coke and refined petroleum products,Large,4,3156,3055,101,1479,1464,15
2023,1,Makkah Region,Manufacture of coke and refined petroleum products,Micro,18,13,9,4,30,29,1
2023,1,Makkah Region,Manufacture of coke and refined petroleum products,Medium,5,146,127,19,176,175,1
2023,1,Eastern Region,Manufacture of paper and paper products,Small,51,297,154,143,941,938,3
2023,1,Eastern Region,Manufacture of paper and paper products,Large,7,723,559,164,1726,1722,4
2023,1,Eastern Region,Manufacture of paper and paper products,Micro,46,27,10,17,98,97,1
2023,1,Eastern Region,Manufacture of paper and paper products,Medium,23,742,483,259,1827,1821,6
2023,1,Al-Jawf Region,Manufacture of paper and paper products,Small,1,2,2,0,9,9,0
2023,1,Al-Jawf Region,Manufacture of paper and paper products,Micro,2,0,0,0,6,6,0
2023,1,Northern border Region,Manufacture of paper and paper products,Small,2,3,1,2,25,25,0
2023,1,Northern border Region,Manufacture of paper and paper products,Micro,1,0,0,0,1,1,0
2023,1,Riyadh Region,Manufacture of paper and paper products,Small,113,576,230,346,1757,1743,14
2023,1,Riyadh Region,Manufacture of paper and paper products,Large,2,146,33,113,383,383,0
2023,1,Riyadh Region,Manufacture of paper and paper products,Micro,119,52,24,28,271,268,3
2023,1,Riyadh Region,Manufacture of paper and paper products,Medium,44,1161,661,500,3518,3504,14
2023,1,Qassim Region,Manufacture of paper and paper products,Small,12,46,21,25,175,174,1
2023,1,Qassim Region,Manufacture of paper and paper products,Micro,18,5,1,4,42,42,0
2023,1,Qassim Region,Manufacture of paper and paper products,Medium,4,102,61,41,344,344,0
2023,1,Medina Region,Manufacture of paper and paper products,Small,13,55,28,27,202,197,5
2023,1,Medina Region,Manufacture of paper and paper products,Micro,15,6,1,5,21,21,0
2023,1,Medina Region,Manufacture of paper and paper products,Medium,2,32,26,6,108,108,0
2023,1,Tabuk Region,Manufacture of paper and paper products,Small,4,16,9,7,72,72,0
2023,1,Tabuk Region,Manufacture of paper and paper products,Micro,3,0,0,0,7,7,0
2023,1,Tabuk Region,Manufacture of paper and paper products,Medium,1,19,7,12,40,40,0
2023,1,Jazan Region,Manufacture of paper and paper products,Small,3,8,3,5,20,20,0
2023,1,Jazan Region,Manufacture of paper and paper products,Micro,4,1,0,1,11,11,0
2023,1,Jazan Region,Manufacture of paper and paper products,Medium,1,26,10,16,84,84,0
2023,1,Hail Region,Manufacture of paper and paper products,Small,4,20,5,15,52,52,0
2023,1,Hail Region,Manufacture of paper and paper products,Micro,5,1,1,0,19,19,0
2023,1,Asir Region,Manufacture of paper and paper products,Small,10,32,15,17,104,104,0
2023,1,Asir Region,Manufacture of paper and paper products,Micro,10,5,3,2,27,27,0
2023,1,Asir Region,Manufacture of paper and paper products,Medium,1,16,3,13,49,49,0
2023,1,Makkah Region,Manufacture of paper and paper products,Small,82,340,199,141,1140,1135,5
2023,1,Makkah Region,Manufacture of paper and paper products,Large,4,602,453,149,1412,1402,10
2023,1,Makkah Region,Manufacture of paper and paper products,Micro,58,29,14,15,123,117,6
2023,1,Makkah Region,Manufacture of paper and paper products,Medium,32,977,506,471,2330,2318,12
2023,1,Najran Region,Manufacture of paper and paper products,Small,2,5,3,2,37,37,0
2023,1,Najran Region,Manufacture of paper and paper products,Micro,20,3,1,2,46,46,0
2023,1,Eastern Region,Manufacture of chemicals and chemical products,Small,190,1169,784,385,3018,3001,17
2023,1,Eastern Region,Manufacture of chemicals and chemical products,Large,19,10830,10565,265,3388,3388,0
2023,1,Eastern Region,Manufacture of chemicals and chemical products,Micro,134,68,45,23,259,258,1
2023,1,Eastern Region,Manufacture of chemicals and chemical products,Medium,96,3579,3031,548,6260,6253,7
2023,1,Al Bahah Region,Manufacture of chemicals and chemical products,Small,4,7,6,1,28,28,0
2023,1,Al Bahah Region,Manufacture of chemicals and chemical products,Micro,4,0,0,0,11,11,0
2023,1,Al Bahah Region,Manufacture of chemicals and chemical products,Medium,1,19,5,14,50,50,0
2023,1,Al-Jawf Region,Manufacture of chemicals and chemical products,Small,2,3,0,3,10,10,0
2023,1,Al-Jawf Region,Manufacture of chemicals and chemical products,Micro,8,1,1,0,15,15,0
2023,1,Northern border Region,Manufacture of chemicals and chemical products,Small,2,13,13,0,7,7,0
2023,1,Northern border Region,Manufacture of chemicals and chemical products,Large,1,547,530,17,147,146,1
2023,1,Northern border Region,Manufacture of chemicals and chemical products,Micro,7,2,2,0,11,11,0
2023,1,Riyadh Region,Manufacture of chemicals and chemical products,Small,423,1953,844,1109,6623,6584,39
2023,1,Riyadh Region,Manufacture of chemicals and chemical products,Large,16,3988,2755,1233,4543,4526,17
2023,1,Riyadh Region,Manufacture of chemicals and chemical products,Micro,486,194,98,96,1008,991,17
2023,1,Riyadh Region,Manufacture of chemicals and chemical products,Medium,108,2737,1397,1340,7530,7516,14
2023,1,Qassim Region,Manufacture of chemicals and chemical products,Small,21,70,41,29,296,295,1
2023,1,Qassim Region,Manufacture of chemicals and chemical products,Large,2,448,416,32,1359,1358,1
2023,1,Qassim Region,Manufacture of chemicals and chemical products,Micro,27,13,7,6,53,53,0
2023,1,Qassim Region,Manufacture of chemicals and chemical products,Medium,7,189,116,73,564,564,0
2023,1,Medina Region,Manufacture of chemicals and chemical products,Small,34,184,139,45,446,444,2
2023,1,Medina Region,Manufacture of chemicals and chemical products,Large,5,2785,2764,21,655,655,0
2023,1,Medina Region,Manufacture of chemicals and chemical products,Micro,35,16,5,11,63,61,2
2023,1,Medina Region,Manufacture of chemicals and chemical products,Medium,15,487,425,62,793,792,1
2023,1,Tabuk Region,Manufacture of chemicals and chemical products,Small,11,60,38,22,198,196,2
2023,1,Tabuk Region,Manufacture of chemicals and chemical products,Large,1,372,218,154,513,512,1
2023,1,Tabuk Region,Manufacture of chemicals and chemical products,Micro,18,5,3,2,42,42,0
2023,1,Jazan Region,Manufacture of chemicals and chemical products,Small,10,26,9,17,100,99,1
2023,1,Jazan Region,Manufacture of chemicals and chemical products,Micro,18,7,3,4,48,46,2
2023,1,Jazan Region,Manufacture of chemicals and chemical products,Medium,1,9,9,0,66,66,0
2023,1,Hail Region,Manufacture of chemicals and chemical products,Small,11,14,6,8,121,121,0
2023,1,Hail Region,Manufacture of chemicals and chemical products,Micro,55,8,5,3,152,152,0
2023,1,Hail Region,Manufacture of chemicals and chemical products,Medium,1,6,5,1,44,44,0
2023,1,Asir Region,Manufacture of chemicals and chemical products,Small,25,97,52,45,415,413,2
2023,1,Asir Region,Manufacture of chemicals and chemical products,Large,1,613,491,122,1405,1401,4
2023,1,Asir Region,Manufacture of chemicals and chemical products,Micro,32,12,8,4,68,68,0
2023,1,Asir Region,Manufacture of chemicals and chemical products,Medium,5,130,84,46,341,341,0
2023,1,Makkah Region,Manufacture of chemicals and chemical products,Small,206,1008,518,490,3272,3239,33
2023,1,Makkah Region,Manufacture of chemicals and chemical products,Large,4,719,533,186,1467,1463,4
2023,1,Makkah Region,Manufacture of chemicals and chemical products,Micro,250,126,70,56,512,497,15
2023,1,Makkah Region,Manufacture of chemicals and chemical products,Medium,77,2207,1320,887,5379,5345,34
2023,1,Najran Region,Manufacture of chemicals and chemical products,Small,5,18,15,3,101,101,0
2023,1,Najran Region,Manufacture of chemicals and chemical products,Micro,10,1,1,0,21,21,0
